cpi_id,lawmaker_id,lawmaker,state,body,district,employer_business_interest,industry,disclosure_report
13,6479039,"EDGMON, BRYCE",AK,HOUSE,37,CHOGGIUNG LTD.,REAL ESTATE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924971-AK-EDGMON-BRYCE
14,17359571,"EGAN, DENNIS",AK,SENATE,Q,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924975-AK-EGAN-DENNIS
15,6400595,"ELLIS JR, JOHNNY",AK,SENATE,J,ELLIS BROTHERS,REAL ESTATE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924977-AK-ELLIS-JR-JOHNNY
16,6508954,"FOSTER, NEAL",AK,HOUSE,39,BERING STRAIGHT DEVELOPMENT COMPANY,BUSINESS SERVICES,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924980-AK-FOSTER-NEAL-W
17,6508954,"FOSTER, NEAL",AK,HOUSE,39,BERING STRAIT NATIVE CORP.,TRIBAL GOVERNMENTS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924980-AK-FOSTER-NEAL-W
18,6508954,"FOSTER, NEAL",AK,HOUSE,39,SITNASUAK NATIVE CORP.,TRIBAL GOVERNMENTS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924980-AK-FOSTER-NEAL-W
19,6508954,"FOSTER, NEAL",AK,HOUSE,39,SIU ALASKA CORP.,COMMERCIAL FISHING,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924980-AK-FOSTER-NEAL-W
20,6508954,"FOSTER, NEAL",AK,HOUSE,39,STAMPEDE VENTURES,TRUCKING,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924980-AK-FOSTER-NEAL-W
21,4004350,"GARA, LESLIE",AK,HOUSE,20,LES GARA OUTDOORS,EMPLOYER LISTED/CATEGORY UNKNOWN,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924982-AK-GARA-LESLIE-S-LES
22,4004350,"GARA, LESLIE",AK,HOUSE,20,LET IT SNOW LLC DBA SNOW CITY CAFE,FOOD & BEVERAGE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924982-AK-GARA-LESLIE-S-LES
23,6464822,"GARDNER, ALBERTA",AK,SENATE,I,BROWN BEAR SOFTWARE,COMPUTER EQUIPMENT & SERVICES,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924984-AK-GARDNER-ALBERTA-BERTA
24,9438054,"GATTIS, LYNN",AK,HOUSE,7,GATTIS AIRCRAFT INC.,AIR TRANSPORT,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924987-AK-GATTIS-LYNN-A
25,9438054,"GATTIS, LYNN",AK,HOUSE,7,GATTIS FARMS,CROP PRODUCTION & BASIC PROCESSING & LIVESTOCK,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924987-AK-GATTIS-LYNN-A
26,9438054,"GATTIS, LYNN",AK,HOUSE,7,GATTIS INVESTMENTS,EMPLOYER LISTED/CATEGORY UNKNOWN,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924987-AK-GATTIS-LYNN-A
27,6692565,"GIESSEL, CATHERINE",AK,SENATE,N,EXTREME ACCESS,CONSTRUCTION SERVICES,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924990-AK-GIESSEL-CATHERINE-A-CATHY
28,6400662,"GRUENBERG JR, MAX",AK,HOUSE,16,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924994-AK-GRUENBERG-JR-MAX-F
29,4004574,"GUTTENBERG, DAVID",AK,HOUSE,4,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924998-AK-GUTTENBERG-DAVID
30,12997261,"HAWKER, MICHAEL",AK,HOUSE,28,HAWKERS SPORTING GOODS,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925001-AK-HAWKER-MICHAEL
31,12997261,"HAWKER, MICHAEL",AK,HOUSE,28,MICHAEL C. HAWKER ACCOUNTING/CONSULTING,ACCOUNTANTS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925001-AK-HAWKER-MICHAEL
32,6495549,"HERRON, BOB",AK,HOUSE,38,BETHEL DRILLING WELDING INC.,SPECIAL TRADE CONTRACTORS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925004-AK-HERRON-BOB
33,6495549,"HERRON, BOB",AK,HOUSE,38,GOLDEN EAGLE UNLIMITED LLC,MISCELLANEOUS TRANSPORT,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925004-AK-HERRON-BOB
34,6495549,"HERRON, BOB",AK,HOUSE,38,KISARELIK UNLIMITED,REAL ESTATE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925004-AK-HERRON-BOB
35,6495549,"HERRON, BOB",AK,HOUSE,38,NEW YORK CREEK ASSOCIATES,MINING,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925004-AK-HERRON-BOB
36,6400620,"HOFFMAN, LYMAN",AK,SENATE,S,BETHEL DRILLING WELDING INC.,SPECIAL TRADE CONTRACTORS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925006-AK-HOFFMAN-LYMAN-F
37,6400620,"HOFFMAN, LYMAN",AK,SENATE,S,BETHEL NATIVE CORP.,TRIBAL GOVERNMENTS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925006-AK-HOFFMAN-LYMAN-F
38,6400620,"HOFFMAN, LYMAN",AK,SENATE,S,BETHEL SOLUTIONS,EMPLOYER LISTED/CATEGORY UNKNOWN,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925006-AK-HOFFMAN-LYMAN-F
39,6400620,"HOFFMAN, LYMAN",AK,SENATE,S,CALISTA CORP.,TRIBAL GOVERNMENTS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925006-AK-HOFFMAN-LYMAN-F
40,6400620,"HOFFMAN, LYMAN",AK,SENATE,S,GOLDEN EAGLE UNLIMITED LLC,MISCELLANEOUS TRANSPORT,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925006-AK-HOFFMAN-LYMAN-F
41,6400620,"HOFFMAN, LYMAN",AK,SENATE,S,KISARELIK UNLIMITED,REAL ESTATE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925006-AK-HOFFMAN-LYMAN-F
42,6400620,"HOFFMAN, LYMAN",AK,SENATE,S,NEW YORK CREEK ASSOCIATES,MINING,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925006-AK-HOFFMAN-LYMAN-F
43,13010973,"HUGGINS, CHARLIE",AK,SENATE,D,GULF COAST CONDO RENTING,REAL ESTATE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925008-AK-HUGGINS-CHARLIE-R-CHARLIE
44,13789707,"HUGHES, SHELLEY",AK,HOUSE,11,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925011-AK-HUGHES-SHELLEY-S
45,6671132,"JOHNSON, CRAIG",AK,HOUSE,24,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925013-AK-JOHNSON-CRAIG-W
46,9400827,"JOSEPHSON, ANDREW",AK,HOUSE,17,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925016-AK-JOSEPHSON-ANDREW-L-ANDY
47,6464847,"KAWASAKI, SCOTT",AK,HOUSE,1,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925020-AK-KAWASAKI-SCOTT
48,12997197,"KELLER, WES",AK,HOUSE,10,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925022-AK-KELLER-WES
49,6615067,"KELLY, PETER",AK,SENATE,A,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925023-AK-KELLY-PETER
50,24764589,"KITO III, SAM",AK,HOUSE,33,K-5 PARTNERSHIP,REAL ESTATE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925026-AK-KITO-III-SAM-S
51,24764589,"KITO III, SAM",AK,HOUSE,33,KCS LLC,EMPLOYER LISTED/CATEGORY UNKNOWN,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925026-AK-KITO-III-SAM-S
52,13789740,"KREISS-TOMKINS, JONATHAN",AK,HOUSE,35,(SALMON FISHING),COMMERCIAL FISHING,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925027-AK-KREISS-TOMKINS-JONATHAN-S
53,13789740,"KREISS-TOMKINS, JONATHAN",AK,HOUSE,35,OZYMANDIAS SERVICES,EMPLOYER LISTED/CATEGORY UNKNOWN,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925027-AK-KREISS-TOMKINS-JONATHAN-S
54,649492,"LEDOUX, GABRIELLE",AK,HOUSE,15,BRISTOL BAY DRIFT NET PERMIT,COMMERCIAL FISHING,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925029-AK-LEDOUX-GABRIELLE
55,12997254,"LYNN, ROBERT",AK,HOUSE,26,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925030-AK-LYNN-ROBERT-S
56,6671121,"MACKINNON, ANNA",AK,SENATE,G,HARRIETT WARNER ESTATE,EMPLOYER LISTED/CATEGORY UNKNOWN,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925032-AK-MACKINNON-ANNA-I-FAIRCLOUGH
57,6671121,"MACKINNON, ANNA",AK,SENATE,G,MACKINCO,REAL ESTATE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925032-AK-MACKINNON-ANNA-I-FAIRCLOUGH
58,6604246,"MCGUIRE, LESIL",AK,SENATE,L,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925035-AK-MCGUIRE-LESIL
59,6614391,"MEYER, KEVIN",AK,SENATE,M,CONOCOPHILLIPS,OIL & GAS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925036-AK-MEYER-KEVIN-G
60,9404861,"MICCICHE, PETER",AK,SENATE,O,CONOCOPHILLIPS,OIL & GAS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925040-AK-MICCICHE-PETER
61,9404861,"MICCICHE, PETER",AK,SENATE,O,INLET RAIDER SEAFOODS,COMMERCIAL FISHING,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925040-AK-MICCICHE-PETER
62,6678391,"MILLETT, CHARISSE",AK,HOUSE,25,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925043-AK-MILLETT-CHARISSE-E
63,12997159,"MUNOZ, CATHY",AK,HOUSE,34,JUSTICE DATA GROUP,COMPUTER EQUIPMENT & SERVICES,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925044-AK-MUNOZ-CATHY-ENGSTROM
64,12997159,"MUNOZ, CATHY",AK,HOUSE,34,MUNOZ FAMILY PARTNERSHIP,REAL ESTATE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925044-AK-MUNOZ-CATHY-ENGSTROM
65,12997159,"MUNOZ, CATHY",AK,HOUSE,34,RIE MUNOZ LTD.,RETAIL SALES,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925044-AK-MUNOZ-CATHY-ENGSTROM
66,13789744,"NAGEAK, BENJAMIN",AK,HOUSE,40,ARCTIC SLOPE REGIONAL CORP.,OIL & GAS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925046-AK-NAGEAK-BENJAMIN-P-BENNIE
67,13789744,"NAGEAK, BENJAMIN",AK,HOUSE,40,B&B ASSOCIATES,ENVIRONMENTAL SERVICES & EQUIPMENT,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925046-AK-NAGEAK-BENJAMIN-P-BENNIE
68,13789744,"NAGEAK, BENJAMIN",AK,HOUSE,40,NORTH SHORE BOROUGH,CIVIL SERVANTS/PUBLIC OFFICIALS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925046-AK-NAGEAK-BENJAMIN-P-BENNIE
69,13789744,"NAGEAK, BENJAMIN",AK,HOUSE,40,UQPIAGVIK INUPIAT CORP.,TRIBAL GOVERNMENTS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925046-AK-NAGEAK-BENJAMIN-P-BENNIE
70,6665815,"NEUMAN, MARK",AK,HOUSE,8,HEIRLOOM WOOD CRAFTERS,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925047-AK-NEUMAN-MARK-A
71,6412276,"OLSON, DONALD",AK,SENATE,T,DONALD OLSON ENTERPRISES,AIR TRANSPORT,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925050-AK-OLSON-DONALD-C-DONNY
72,6412276,"OLSON, DONALD",AK,SENATE,T,HAGELAND AVIATION,AIR TRANSPORT,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925050-AK-OLSON-DONALD-C-DONNY
73,6412276,"OLSON, DONALD",AK,SENATE,T,NORTH SHORE BOROUGH,CIVIL SERVANTS/PUBLIC OFFICIALS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925050-AK-OLSON-DONALD-C-DONNY
74,6412276,"OLSON, DONALD",AK,SENATE,T,OLSON VENTURES,AIR TRANSPORT,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925050-AK-OLSON-DONALD-C-DONNY
75,6412276,"OLSON, DONALD",AK,SENATE,T,POLAR EXPRESS AIRWAYS,AIR TRANSPORT,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925050-AK-OLSON-DONALD-C-DONNY
76,12997267,"OLSON, KURT",AK,HOUSE,30,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925052-AK-OLSON-KURT
77,9411438,"ORTIZ, DANIEL",AK,HOUSE,36,SEA WIND AVIATION,AIR TRANSPORT,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925053-AK-ORTIZ-DANIEL-H
78,6692534,"PRUITT, LANCE",AK,HOUSE,27,PRUITT INTERNATIONAL ENTERPRISES,EMPLOYER LISTED/CATEGORY UNKNOWN,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925056-AK-PRUITT-LANCE
79,6692534,"PRUITT, LANCE",AK,HOUSE,27,PS STRATEGIES,BUSINESS SERVICES,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925056-AK-PRUITT-LANCE
80,9448191,"REINBOLD, LORA",AK,HOUSE,14,DESHKA LANDING OUTDOOR ASSOCIATION,MISCELLANEOUS TRANSPORT,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925058-AK-REINBOLD-LORA-H
81,6692528,"SADDLER, DAN",AK,HOUSE,13,CARLYLE REAL ESTATE LP XIII,REAL ESTATE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925059-AK-SADDLER-DAN
82,6692528,"SADDLER, DAN",AK,HOUSE,13,TRIPLE B INC.,AIR TRANSPORT,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925059-AK-SADDLER-DAN
83,6604267,"SEATON, PAUL",AK,HOUSE,31,KNS MARINE,MISCELLANEOUS TRANSPORT,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925061-AK-SEATON-PAUL-K
84,13010956,"STEDMAN, BERT",AK,SENATE,R,PIONEER CAPITAL,MISCELLANEOUS FINANCE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925064-AK-STEDMAN-BERT-K
85,5087125,"STEVENS, GARY",AK,SENATE,P,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925065-AK-STEVENS-GARY-LEE
86,6604189,"STOLTZE, BILL",AK,SENATE,F,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925068-AK-STOLTZE-BILL
87,9402901,"STUTES, LOUISE",AK,HOUSE,32,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925071-AK-STUTES-LOUISE
88,6692467,"TALERICO, DAVID",AK,HOUSE,6,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925072-AK-TALERICO-DAVID-M-DAVE
89,13789725,"TARR, GERAN",AK,HOUSE,19,UNIVERSITY OF ALASKA,EDUCATION,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925075-AK-TARR-GERAN
90,12997186,"THOMPSON, STEVE",AK,HOUSE,2,COOK-HAUGEBURG LLC,ACCOUNTANTS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925077-AK-THOMPSON-STEVE-M
91,9654575,"TILTON, CATHY",AK,HOUSE,12,CROSS CREEK INC.,REAL ESTATE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925080-AK-TILTON-CATHY-LYNN
92,9654575,"TILTON, CATHY",AK,HOUSE,12,OCEAN FINANCING,EMPLOYER LISTED/CATEGORY UNKNOWN,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925080-AK-TILTON-CATHY-LYNN
93,6464933,"TUCK, CHRIS",AK,HOUSE,23,ALASKA ELECTRIC TRUST FUNDS,ELECTRIC UTILITIES,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925082-AK-TUCK-CHRIS-S
94,6464933,"TUCK, CHRIS",AK,HOUSE,23,ELECTRICAL WORKERS LOCAL 1547,GENERAL TRADE UNIONS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925082-AK-TUCK-CHRIS-S
95,9399402,"VAZQUEZ, ELIZABETH",AK,HOUSE,22,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925086-AK-VAZQUEZ-ELIZABETH
96,6479095,"WIELECHOWSKI, WILLIAM",AK,SENATE,H,ELECTRICAL WORKERS LOCAL 1547,GENERAL TRADE UNIONS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925088-AK-WIELECHOWSKI-WILLIAM-P
97,6692490,"WILSON, TAMMIE",AK,HOUSE,3,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925090-AK-WILSON-TAMMIE
98,9607684,"WOOL, ADAM",AK,HOUSE,5,BLUE LOON INC. NIGHTCLUB,FOOD & BEVERAGE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925093-AK-WOOL-ADAM-L
99,21346968,"AINSWORTH, WILLIAM",AL,HOUSE,27,DREAM RANCH LLC,HUNTING,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925095-AL-AINSWORTH-WILLIAM-J-WILL
100,6568015,"ALBRITTON, GREG",AL,SENATE,22,"GREG ALBRITTON, ATTORNEY",LAWYERS & LOBBYISTS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925099-AL-ALBRITTON-GREG
101,6464074,"ALEXANDER, LOUISE",AL,HOUSE,56,ALEXANDER UNITY FLOWERS,AGRICULTURAL SERVICES & PRODUCTS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925101-AL-ALEXANDER-LOUISE-LULU
102,6568032,"ALLEN, GERALD",AL,SENATE,21,CASHCO MARKETING,BUSINESS SERVICES,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925105-AL-ALLEN-GERALD
103,12997448,"BAKER, ALAN",AL,HOUSE,66,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925108-AL-BAKER-ALAN
104,6568142,"BALL, MIKE",AL,HOUSE,10,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925112-AL-BALL-MIKE
105,6370701,"BANDY, GEORGE",AL,HOUSE,83,ST. JAMES BAPTIST CHURCH,CLERGY,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925115-AL-BANDY-GEORGE-TOOTIE
106,21273335,"BEASLEY, BILL",AL,SENATE,28,PRATTS STATION LLC DBA CLAYTON DRUG COMPANY,RETAIL SALES,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925118-AL-BEASLEY-BILL
107,12997497,"BECKMAN, PAUL",AL,HOUSE,88,BECKMAN AND ASSOCIATES,LAWYERS & LOBBYISTS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925121-AL-BECKMAN-PAUL
108,12997447,"BEECH, ELAINE",AL,HOUSE,65,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925124-AL-BEECH-ELAINE
109,6370950,"BLACK, MARCEL",AL,HOUSE,3,"BLACK & HUGHSTON, P.C.",LAWYERS & LOBBYISTS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925126-AL-BLACK-MARCEL
110,6370950,"BLACK, MARCEL",AL,HOUSE,3,NORTH ALABAMA ABSTRACT & GUARANTY COMPANY,REAL ESTATE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925126-AL-BLACK-MARCEL
111,21273389,"BLACKWELL, SLADE",AL,SENATE,15,INKANA DEVELOPMENT,REAL ESTATE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925130-AL-BLACKWELL-SLADE
112,21273389,"BLACKWELL, SLADE",AL,SENATE,15,SALTER & TAPSCOTT SURGICAL ASSOCIATES LLC,HEALTH PROFESSIONALS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925130-AL-BLACKWELL-SLADE
113,12997498,"BOOTHE, ALAN",AL,HOUSE,89,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925132-AL-BOOTHE-ALAN-C
114,12997372,"BOYD, BARBARA",AL,HOUSE,32,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925133-AL-BOYD-BARBARA-BIGSBY
115,12997520,"BRACY JR, NAPOLEON",AL,HOUSE,98,AUSTAL USA,MISCELLANEOUS DEFENSE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925135-AL-BRACY-JR-NAPOLEON
116,12997469,"BREWBAKER, DICK",AL,SENATE,25,BREWBAKER MTVS INC,AUTOMOTIVE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925137-AL-BREWBAKER-DICK-L
117,12997469,"BREWBAKER, DICK",AL,SENATE,25,BREWBAKER PROPERTIES,REAL ESTATE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925137-AL-BREWBAKER-DICK-L
118,12997388,"BROWN, K L",AL,HOUSE,40,K.L. BROWN FUNERAL HOME AND CREMATORY,MISCELLANEOUS SERVICES,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925139-AL-BROWN-K-L-KOVEN
119,12997388,"BROWN, K L",AL,HOUSE,40,K.L. BROWN MEMORY CHAPEL,MISCELLANEOUS SERVICES,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925139-AL-BROWN-K-L-KOVEN
120,6371334,"BUSKEY, JAMES",AL,HOUSE,99,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925143-AL-BUSKEY-JAMES-E
121,6688447,"BUSSMAN, PAUL",AL,SENATE,4,CULLMAN SAVINGS BANK,COMMERCIAL BANKS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925146-AL-BUSSMAN-PAUL
122,6688447,"BUSSMAN, PAUL",AL,SENATE,4,"PAUL D. BUSSMAN DMD, PC",HEALTH PROFESSIONALS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3925146-AL-BUSSMAN-PAUL
